source_id,station_network_code,station_code,station_location_code,station_channels,station_latitude_deg,station_longitude_deg,station_elevation_m,station_vs_30_mps,station_vs_30_detail,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_origin_uncertainty_s,source_latitude_uncertainty_deg,source_longitude_uncertainty_deg,source_depth_uncertainty_km,source_stderror_s,source_gap_deg,source_horizontal_uncertainty_km,source_magnitude,source_magnitude_type,source_mt_eval_mode,source_mt_status,source_mt_scalar_moment_Nm,source_mechanism_strike_dip_rake,source_mechanism_moment_tensor,path_travel_time_P_s,path_travel_time_S_s,path_residual_P_s,path_residual_S_s,path_ep_distance_km,path_hyp_distance_km,path_azimuth_deg,path_backazimuth_deg,path_weight_phase_location_P,path_weight_phase_location_S,trace_start_time,trace_dt_s,trace_npts,trace_eval_P,trace_P_uncertainty_s,trace_P_arrival_time,trace_polarity,trace_eval_S,trace_S_uncertainty_s,trace_S_arrival_time,trace_P_arrival_sample,trace_S_arrival_sample,trace_E_median_counts,trace_N_median_counts,trace_Z_median_counts,trace_E_mean_counts,trace_N_mean_counts,trace_Z_mean_counts,trace_E_min_counts,trace_N_min_counts,trace_Z_min_counts,trace_E_max_counts,trace_N_max_counts,trace_Z_max_counts,trace_E_rms_counts,trace_N_rms_counts,trace_Z_rms_counts,trace_E_lower_quartile_counts,trace_N_lower_quartile_counts,trace_Z_lower_quartile_counts,trace_E_upper_quartile_counts,trace_N_upper_quartile_counts,trace_Z_upper_quartile_counts,trace_E_spikes,trace_N_spikes,trace_Z_spikes,trace_E_snr_db,trace_N_snr_db,trace_Z_snr_db,trace_E_pga_cmps2,trace_E_pgv_cmps,trace_E_pga_perc,trace_E_pga_time,trace_E_pgv_time,trace_E_sa03_cmps2,trace_E_sa10_cmps2,trace_E_sa30_cmps2,trace_N_pga_cmps2,trace_N_pgv_cmps,trace_N_pga_perc,trace_N_pga_time,trace_N_pgv_time,trace_N_sa03_cmps2,trace_N_sa10_cmps2,trace_N_sa30_cmps2,trace_Z_pga_cmps2,trace_Z_pgv_cmps,trace_Z_pga_perc,trace_Z_pga_time,trace_Z_pgv_time,trace_Z_sa03_cmps2,trace_Z_sa10_cmps2,trace_Z_sa30_cmps2,trace_pga_cmps2,trace_pgv_cmps,trace_pga_perc,trace_sa03_cmps2,trace_sa10_cmps2,trace_sa30_cmps2,trace_name,trace_GPD_P_number,trace_GPD_S_number,trace_EQT_number_detections,trace_EQT_P_number,trace_EQT_S_number,trace_deconvolved_units,source_type
10000541,MN,AQU,,HH,42.354,13.405,710.0,485.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,8.9,15.78,-0.06,0.29,48.255,49.342,158.8,338.9,94.0,45.0,2016-11-16T01:35:48.20Z,0.01,12000,manual,0.1,2016-11-16T01:36:05.11Z,undecidable,manual,0.6,2016-11-16T01:36:11.99Z,1691,2379.0,31.0,-18.0,-4.0,-0.04558,0.03583,0.01883,-983.0,-1206.0,-603.0,952.0,1188.0,510.0,210.944,232.536,106.85,-144.0,-159.0,-70.0,147.0,156.0,70.0,0.0,0.0,0.0,5.184,8.389,4.641,0.00846611,0.0001343,0.0008633,2016-11-16T01:37:29.256593Z,2016-11-16T01:36:13.606593Z,0.00558150976474,0.00069963779228,0.000184413072585,0.01179115,0.00015847,0.00120236,2016-11-16T01:37:28.956593Z,2016-11-16T01:37:28.996593Z,0.0079628026863349,0.000589780756985,0.000187868936045,0.00639522,7.666e-05,0.00065213,2016-11-16T01:37:28.946593Z,2016-11-16T01:36:16.106593Z,0.0036508157393399,0.000558805472295,0.00013239173633,0.01179114,0.00015847,0.00120236,0.0079628017056699,0.00069963779228,0.000187868936045,10000541.MN.AQU..HH,1.0,1.0,1.0,1.0,1.0,mps,earthquake
10000541,MN,AQU,,HL,42.354,13.405,710.0,485.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,8.9,15.78,-0.06,0.29,48.255,49.342,158.8,338.9,94.0,45.0,2016-11-16T01:35:47.56Z,0.01,12000,manual,0.1,2016-11-16T01:36:05.11Z,undecidable,manual,0.6,2016-11-16T01:36:11.99Z,1755,2443.0,0.0,0.0,0.0,-0.02458,0.019,-0.04508,-55.0,-74.0,-51.0,63.0,76.0,53.0,6.208,6.372,5.07,-3.0,-3.0,-3.0,3.0,3.0,3.0,0.0,0.0,0.0,6.838,8.383,3.838,0.00929238,0.00080825,0.00094756,2016-11-16T01:37:29.236593Z,2016-11-16T01:36:09.286593Z,0.004336095615355,0.00132510200662,0.000449906546705,0.01309785,0.00037383,0.00133561,2016-11-16T01:37:28.986593Z,2016-11-16T01:36:15.956593Z,0.00819403859001,0.00111435709812,0.000485818499005,0.00703954,0.00069901,0.00071783,2016-11-16T01:37:30.086593Z,2016-11-16T01:36:49.076593Z,0.0025858802345599,0.00106141491743,0.000526994661025,0.01309785,0.00080825,0.00133561,0.00819403859001,0.00132510200662,0.000485818499005,10000541.MN.AQU..HL,,,,,,mps2,earthquake
10000541,IV,ARRO,,EH,42.57917,12.76567,253.0,549.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,7.77,13.14,0.05,-0.22,40.352,41.646,240.4,60.1,96.0,47.0,2016-11-16T01:35:45.66Z,0.01,12000,manual,0.1,2016-11-16T01:36:03.98Z,positive,manual,0.6,2016-11-16T01:36:09.35Z,1832,2369.0,0.0,0.0,-3.0,-0.01375,0.04325,0.03142,-1558.0,-1407.0,-1124.0,1456.0,1447.0,1100.0,119.75,116.18,98.521,-37.0,-37.0,-37.0,36.0,36.0,37.0,0.0,0.0,0.0,24.951,20.084,16.685,0.01671418,0.00032959,0.00170437,2016-11-16T01:36:11.030000Z,2016-11-16T01:36:11.010000Z,0.008538207875085,0.0004503174453399,0.00021689171672,0.01840413,0.00033825,0.0018767,2016-11-16T01:36:10.780000Z,2016-11-16T01:36:10.750000Z,0.00845080022297,0.0004443442148249,0.0001675789771949,0.01413821,0.00028292,0.0014417,2016-11-16T01:36:10.810000Z,2016-11-16T01:36:11.430000Z,0.0066360933697799,0.000337793001245,0.0002031074894799,0.01840413,0.00033825,0.0018767,0.008538207875085,0.0004503174453399,0.00021689171672,10000541.IV.ARRO..EH,2.0,1.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,ASSB,,HH,43.0426,12.6587,734.0,412.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,9.7,17.01,-0.15,-0.03,53.822,54.799,306.0,125.6,92.0,70.0,2016-11-16T01:35:46.57Z,0.01,12000,manual,0.1,2016-11-16T01:36:05.91Z,undecidable,manual,0.3,2016-11-16T01:36:13.22Z,1934,2665.0,107.5,-11.5,0.0,-0.03308,0.00233,0.00125,-31782.0,-35941.0,-20009.0,38282.0,36595.0,22204.0,2754.202,2793.926,1951.761,-893.0,-796.0,-589.0,864.25,864.0,602.0,0.0,0.0,0.0,25.694,26.031,18.584,0.02530449,0.00038379,0.00258034,2016-11-16T01:36:14.834400Z,2016-11-16T01:36:14.824400Z,0.0124176499685349,0.000598936245425,0.000133043878555,0.03053936,0.0003895,0.00311415,2016-11-16T01:36:15.014399Z,2016-11-16T01:36:15.074399Z,0.01373207939796,0.0006697696783749,0.0001447863612649,0.01547665,0.00026795,0.00157818,2016-11-16T01:36:14.534400Z,2016-11-16T01:36:14.514400Z,0.010889550306915,0.0003735421631549,0.0001229950042999,0.03053936,0.0003895,0.00311415,0.013732080378625,0.0006697696783749,0.0001447863612649,10000541.IV.ASSB..HH,1.0,7.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,ATCC,,EH,43.18514,12.63994,557.0,667.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,11.74,19.66,0.17,-0.37,65.392,66.198,316.5,136.2,90.0,65.0,2016-11-16T01:35:49.66Z,0.01,12000,manual,0.1,2016-11-16T01:36:07.95Z,positive,manual,0.3,2016-11-16T01:36:15.87Z,1828,2621.0,-3.0,-1.0,0.0,0.05975,-0.02017,0.03817,-1296.0,-1195.0,-585.0,1022.0,1136.0,510.0,109.755,101.138,70.56,-45.0,-38.0,-36.0,45.0,38.0,37.0,0.0,0.0,0.0,18.377,25.554,16.257,0.00985171,0.0002404,0.00100459,2016-11-16T01:36:18.560000Z,2016-11-16T01:36:17.630000Z,0.0119224445441499,0.0004815614322399,0.0001934577458799,0.01033636,0.00024193,0.00105402,2016-11-16T01:36:18.860000Z,2016-11-16T01:36:18.070000Z,0.01312864680351,0.00055922421625,0.00027683388418,0.005744,0.00011419,0.00058572,2016-11-16T01:36:08.110000Z,2016-11-16T01:36:17.980000Z,0.0073927480058249,0.0004386877391049,0.0002235308187699,0.01033636,0.00024193,0.00105402,0.01312864680351,0.00055922421625,0.00027683388418,10000541.IV.ATCC..EH,1.0,3.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,ATCC,,HN,43.18514,12.63994,557.0,667.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,11.74,19.66,0.17,-0.37,65.392,66.198,316.5,136.2,90.0,65.0,2016-11-16T01:35:50.24Z,0.01,12000,manual,0.1,2016-11-16T01:36:07.95Z,positive,manual,0.3,2016-11-16T01:36:15.87Z,1771,2563.0,0.0,0.0,0.0,8e-05,-0.00325,0.00192,-35.0,-37.0,-20.0,30.0,28.0,21.0,3.065,3.113,2.435,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.15,13.444,7.926,0.01010151,0.00032052,0.00103007,2016-11-16T01:36:19.130000Z,2016-11-16T01:37:00.760000Z,0.010579617017655,0.001456157096555,0.00067082193192,0.01073558,0.00050983,0.00109472,2016-11-16T01:36:18.880000Z,2016-11-16T01:36:17.410000Z,0.01256075546999,0.0027478311753199,0.00087201124066,0.00750656,0.00028966,0.00076546,2016-11-16T01:36:08.120000Z,2016-11-16T01:36:18.990000Z,0.0069773255631799,0.00116723455492,0.000546545198465,0.01073558,0.00050983,0.00109472,0.01256075546999,0.0027478311753199,0.00087201124066,10000541.IV.ATCC..HN,,,,,,mps2,earthquake
10000541,IV,CAMP,,HH,42.53578,13.409,1283.0,517.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,6.19,10.53,-0.02,-0.22,30.482,32.175,144.4,324.6,99.0,71.0,2016-11-16T01:35:45.14Z,0.01,12000,manual,0.1,2016-11-16T01:36:02.40Z,positive,manual,0.3,2016-11-16T01:36:06.74Z,1726,2160.0,3.0,-4.0,2.0,-0.02208,0.02483,-0.01783,-1880.0,-893.0,-1259.0,1850.0,1516.0,1294.0,104.27,97.017,85.736,-42.0,-51.0,-33.0,47.0,43.0,33.0,0.0,0.0,0.0,17.329,16.827,20.449,0.02146025,0.00045726,0.00218834,2016-11-16T01:36:07.190200Z,2016-11-16T01:36:07.230200Z,0.0176324204432249,0.000727556344165,0.00022272275081,0.0142861,0.00035812,0.00145678,2016-11-16T01:36:07.140100Z,2016-11-16T01:36:07.170100Z,0.0097814606388099,0.00079877321713,0.00016489097443,0.01503256,0.00029328,0.00153289,2016-11-16T01:36:07.180100Z,2016-11-16T01:36:07.580100Z,0.00699060572861,0.0005448662999849,0.0001576350340949,0.02146025,0.00045726,0.00218834,0.0176324194625599,0.00079877321713,0.00022272275081,10000541.IV.CAMP..HH,1.0,4.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,CESI,,HH,43.0049,12.9046,840.0,318.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,7.1,12.3,0.04,0.07,36.068,37.51,319.3,139.1,97.0,73.0,2016-11-16T01:35:47.42Z,0.01,12000,manual,0.1,2016-11-16T01:36:03.31Z,negative,manual,0.3,2016-11-16T01:36:08.51Z,1589,2109.0,10.0,10.0,-7.0,-0.01392,-0.01733,0.01617,-17291.0,-18823.0,-8404.0,9559.0,20290.0,6625.0,737.889,1027.114,449.321,-191.0,-188.0,-124.25,207.0,206.0,116.0,0.0,0.0,0.0,23.7,25.764,23.596,0.0732877,0.00144823,0.00747327,2016-11-16T01:36:09.220200Z,2016-11-16T01:36:09.210200Z,0.032079388935545,0.001518044903375,0.0002067261433299,0.07073831,0.00172036,0.0072133,2016-11-16T01:36:09.340000Z,2016-11-16T01:36:08.670000Z,0.07842496077066,0.003576199881485,0.000364924079135,0.03884108,0.00072646,0.00396069,2016-11-16T01:36:08.940000Z,2016-11-16T01:36:08.920000Z,0.01604554070217,0.001375269886025,0.00015967383663,0.0732877,0.00172036,0.00747327,0.0784249666546499,0.003576199881485,0.000364924079135,10000541.IV.CESI..HH,1.0,6.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,CESX,,HH,42.608486,12.58676,380.0,669.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,9.52,16.3,-0.05,-0.27,52.446,53.448,251.6,71.2,94.0,45.0,2016-11-16T01:35:45.72Z,0.01,12000,manual,0.1,2016-11-16T01:36:05.73Z,positive,manual,0.6,2016-11-16T01:36:12.51Z,2001,2679.0,0.0,-1.0,0.0,0.00525,0.01517,0.0065,-577.0,-560.0,-330.0,430.0,755.0,448.0,60.068,69.527,44.579,-35.0,-37.0,-26.0,31.0,32.0,25.0,0.0,0.0,0.0,13.169,14.527,12.723,0.00594414,0.00013727,0.00060613,2016-11-16T01:36:15.410300Z,2016-11-16T01:36:15.040300Z,0.00602894013232,0.00054888016183,0.00017388759514,0.00632225,0.00017624,0.00064469,2016-11-16T01:36:14.950000Z,2016-11-16T01:36:14.980000Z,0.008207876753825,0.000324424575965,0.00011803676206,0.00466983,0.0001014,0.00047619,2016-11-16T01:36:14.260000Z,2016-11-16T01:36:15.700000Z,0.001998696278495,0.0002709969661,0.0001405410624799,0.00632225,0.00017624,0.00064469,0.008207876753825,0.00054888016183,0.00017388759514,10000541.IV.CESX..HH,1.0,1.0,1.0,1.0,1.0,mps,earthquake
10000541,IV,CSP1,,EH,43.091833,13.204833,1188.0,672.0,Vs30 extracted from ShakeMap,2016-11-16 01:35:56.210000+00:00,42.7592,13.1932,10.3,0.03,0.0018,0.0024,0.2,0.19,44.0,0.24,2.1,ML,,,,,,7.36,12.84,0.15,0.36,36.965,38.373,1.5,181.5,95.0,68.0,2016-11-16T01:35:43.56Z,0.01,12000,manual,0.1,2016-11-16T01:36:03.57Z,positive,manual,0.3,2016-11-16T01:36:09.05Z,2001,2549.0,0.0,0.0,0.0,0.0485,-0.13858,-0.12358,-2390.0,-2441.0,-1608.0,2398.0,4203.0,1362.0,174.631,197.999,110.531,-22.0,-23.0,-13.0,22.0,22.0,14.0,0.0,0.0,0.0,33.538,33.775,32.173,0.03408338,0.00054143,0.00347554,2016-11-16T01:36:10.290200Z,2016-11-16T01:36:10.310200Z,0.012746816059775,0.0008915323581499,0.0004406510304349,0.03204925,0.00081053,0.00326811,2016-11-16T01:36:11.180000Z,2016-11-16T01:36:09.680000Z,0.0179655337110899,0.001682906457855,0.00052411640925,0.02290274,0.00033692,0.00233543,2016-11-16T01:36:09.780200Z,2016-11-16T01:36:04.460200Z,0.0085172579286899,0.00066257257794,0.0004246436356399,0.03408338,0.00081053,0.00347554,0.0179655337110899,0.001682906457855,0.00052411640925,10000541.IV.CSP1..EH,3.0,6.0,1.0,1.0,1.0,mps,earthquake
